	orderid	latitude	longitude	estimateddeliverytime	totalprice	zip	city	time
2022	1555015	37.777532	-122.48744099999999	154.0	48.74		San Francisco	19.729643611111108
2023	1555208	37.83425	-122.254145	247.0	159.16	94611	Oakland	20.081713055555554
2024	1555225	32.7549337	-117.1933067	158.0	41.52	92103	San Diego	20.117661944444446
2025	1555368	37.38835870000001	-121.97937490000001	221.0	53.66		Santa Clara	20.322673055555555
2026	1555335	37.456939	-122.24334099999999	1.0	35.52		Redwood City	20.5446825
2027	1555566	32.8260903	-117.0989797	215.0	102.45	92124	San Diego	20.679597222222224
2028	1555732	37.8433883	-122.2204595	148.0	52.31	94611	Oakland	20.690500833333335
2029	1555691	32.9329466	-117.12347140000001	32.0	200.0		San Diego	20.74546861111111
2030	1555738	34.001785299999995	-118.39190249999999	3.0	141.99		Culver City	20.79114527777778
2031	1555739	37.7861297	-122.4143855	298.0	83.2	94114	San Francisco	21.898680555555554
2032	1555802	37.7731418	-122.42831969999999	306.0	38.16		San Francisco	21.926969444444445
2033	1555825	37.76693770000001	-122.43129170000002	220.0	96.92		San Francisco	22.029788888888888
2034	1555873	32.7305854	-117.22546090000002	113.0	93.76		San Diego	22.102875
2035	1555958	37.5594433	-122.31511599999999	13.0	57.15		San Mateo	22.14746472222222
2036	1556003	36.9879586	-121.9631779	73.0	76.83	95065	Soquel	22.25683972222222
2037	1555973	37.3531023	-121.99731979999999	110.0	43.18		Santa Clara	22.647880555555556
2038	1556093	37.37668920000001	-122.05506059999999	197.0	41.42		Sunnyvale	23.017138888888887
2039	1556027	37.54114379999999	-122.2988963	125.0	92.93		San Mateo	23.136901944444443
2040	1556005	36.954935	-122.048028	148.0	145.04	95060	Santa Cruz	23.19785638888889
2041	1555948	37.7838234	-122.3977092	143.0	80.4	94107	San Francisco	23.080259166666668
2042	1556108	37.7940718	-122.26798290000002	1.0	56.51	94501	Oakland	23.3868075
2043	1556150	37.7629315	-122.4250114	59.0	94.76	94114	San Francisco	23.3987425
2044	1556274	37.803994	-122.413646	104.0	315.24	94114	San Francisco	23.47236583333333
2045	1556179	32.8034729	-117.230002	0.0	35.62	92109	San Diego	23.8244175
2046	1552610	37.4849865	-122.2453606	86.0	35.13	94063	Redwood City	5.1904055555555555
2047	1552609	37.7791922	-122.4043488	206.0	56.35	94103	San Francisco	0.009255555555555555
2048	1552723	37.716943	-122.390332	202.0	48.06	94124	San Francisco	0.12525916666666667
2049	1552611	36.971603	-121.982495	178.0	49.58	95065	Santa Cruz	0.13909166666666667
2050	1552813	37.3188696	-121.92702150000001	2.0	38.59		San José	0.17810361111111112
2051	1552781	37.5661737	-122.3048289	65.0	39.43	94401	San Mateo	0.4928647222222222
2052	1552909	37.6125563	-122.4049688	221.0	69.78	CA 94066	Millbrae	0.7210925
2053	1552977	37.7867777	-122.215533	533.0	72.14	94602	Oakland	0.7979241666666667
2054	1552772	37.3406258	-121.97869990000001	25.0	77.61		Santa Clara	0.8380602777777778
2055	1553061	37.6320576	-122.06563429999999	73.0	48.44		Hayward	1.086097222222222
2056	1553111	37.5200285	-122.2758422	175.0	62.28	94002	Belmont	1.2173075000000002
2057	1553128	37.7317901	-122.4382797	112.0	32.6	94114	San Francisco	0.38950194444444447
2058	1553077	37.5022117	-122.2556074	0.0	134.74	94070	San Carlos	1.2160333333333333
2059	1553054	37.413954	-122.192452	4.0	158.2	94028	Portola Valley	1.2676158333333332
2060	1553048	37.42619000000001	-122.180151	1.0	43.51	94305-6015	Stanford	1.3200916666666667
2061	1553166	37.3638143	-121.97901340000001	63.0	77.88		Santa Clara	1.3334249999999999
2062	1553278	37.669103	-122.0951119	82.0	52.02	94541	Hayward	1.3879416666666666
2063	1553288	37.7612758	-122.4375254	178.0	74.5	94114	San Francisco	1.4813175
2064	1553399	37.7593174	-122.24529299999999	170.0	77.53		Alameda	0.7300313888888889
2065	1553280	37.372918	-122.2072838	5.0	41.69	94028	Portola Valley	1.671890833333333
2066	1553452	32.7056217	-117.1469652	108.0	29.01	92113	San Diego	1.713611111111111
2067	1553343	37.5645414	-122.2703741	128.0	54.65	94404	Foster City	1.7643222222222221
2068	1553476	37.5927979	-122.3969034	74.0	40.99	94030	Millbrae	1.7829352777777778
2069	1553414	37.7727781	-122.3927604	319.0	111.91	94158	San Francisco	1.837731388888889
2070	1553608	37.782446500000006	-122.3964761	311.0	56.81	94114	San Francisco	1.9255091666666666
2071	1553519	37.7981422	-122.4113197	82.0	197.41	94113	San Francisco	2.1329175
2072	1553599	37.8494073	-122.26545120000002	292.0	63.03		Oakland	2.2743277777777777
2073	1553694	32.7089441	-117.1553466	233.0	37.23	92102	San Diego	2.4473472222222226
2074	1553855	37.498443	-122.2518162	46.0	99.85	94070	San Carlos	2.5310563888888886
2075	1553876	37.7717346	-122.27521270000001	141.0	54.86		Alameda	2.6932611111111115
2076	1554066	37.3755778	-122.0638388	107.0	32.56	94086	Mountain View	2.747075
2077	1553997	37.7821303	-122.397083	260.0	78.51	94114	San Francisco	3.1812416666666663
2078	1554050	37.7678696	-122.445507	179.0	64.86	94114	San Francisco	3.2182258333333333
2079	1553973	36.967143	-121.881937	129.0	94.37	95003	Aptos	3.2333333333333334
2080	1554057	37.3971459	-122.0962331	155.0	85.41	94040	Mountain View	3.3586602777777776
2081	1554141	37.7755071	-122.4142979	71.0	188.24	94103	San Francisco	3.4603258333333335
2082	1554154	37.7988581	-122.4187517	182.0	66.6	94114	San Francisco	3.0896575
2083	1554215	34.0187827	-118.48939809999999	87.0	46.51		Santa Monica	4.09169361111111
2084	1554170	37.3229276	-121.9241608	50.0	130.45	95126	San José	4.144777777777779
2085	1554308	37.6935029	-122.4597578	130.0	39.12	94132	Daly City	4.1668325
2086	1554322	37.7753143	-122.4381835	94.0	34.83	94114	San Francisco	4.292964722222222
2087	1554265	37.8638584	-122.25727509999999	177.0	50.27		Berkeley	4.100326944444444
2088	1554334	37.77356470000001	-122.2738588	210.0	66.33	94501	Alameda	4.381517499999999
2089	1554469	37.8028538	-122.25332990000001	326.0	54.1		Oakland	4.406288055555556
2090	1554342	37.3945857	-121.9917121	149.0	56.19	94089-2701	Sunnyvale	4.481240833333334
